order_date,sku,product_name,city,darkstore,warehouse,units_sold,revenue
2026-06-17,10274845,Real Nut Premium Cashew,Lucknow,,,1,345
2026-06-17,10274845,Real Nut Premium Cashew,Delhi,,,1,345
2026-06-17,10274845,Real Nut Premium Cashew,Bengaluru,,,1,345
2026-06-17,10274845,Real Nut Premium Cashew,UP-NCR,,,1,345
2026-06-17,10274845,Real Nut Premium Cashew,Ahmedabad,,,1,345
2026-06-17,10274845,Real Nut Premium Cashew,HR-NCR,,,1,345
2026-06-17,10274845,Real Nut Premium Cashew,UP-NCR,,,1,345
2026-06-17,10274845,Real Nut Premium Cashew,Ahmedabad,,,1,345
2026-06-17,10274845,Real Nut Premium Cashew,Delhi,,,1,345
2026-06-17,10274845,Real Nut Premium Cashew,Chennai,,,1,345
2026-06-17,10274845,Real Nut Premium Cashew,UP-NCR,,,1,345
2026-06-17,10274845,Real Nut Premium Cashew,Mysore,,,1,345
2026-06-17,10274845,Real Nut Premium Cashew,HR-NCR,,,1,345
